"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"Stap 4.2: IB 2019 | als contact name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"32344539";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'IB 2019: {{ _0_3.contact_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Set contacts as marketing contacts";"155639572";"📁 Klantenbestand (5941173)";"5941173";"Offerte geaccepteerd start (5941263) | Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941263, 5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Set marketing contact status";"Actief"
"Stap 3.1: LH 2020 augustus | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT";"37240473";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 4.1: OB 2020 Q2 | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"30753375";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'OB 2020 Q2: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Uitgeschakeld"
"Customer Type changes -> Check Beginner Stage";"1692203165";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/check_correct_stage";"Actief"
"DTM tweede gemiste telefoon gesprek";"149890896";"📈 Sales Pipeline (802700718)";"802700718";"Geen gehoor 2. (1180703135)";"1180703135";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_tweede_bel_moment' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Add Batch of Clockify Clients";"152475193";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=1&start=0&end=100; SINGLE_CONNECTION: Delay for 1 minute; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=2&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=3&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=4&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=100&end=200; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=300&end=400";"Uitgeschakeld"
"Move JR deal based on Jaarrekening company property - default";"1617863520";"Jaarrekening - 2024* (136666296)";"136666296";"Open* (235354027) | Software (235223622)";"235354027, 235223622";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235223623; SINGLE_CONNECTION zet dealstage naar 253060782 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Actief"
"[TJILP] Calendly trigger - terugbel afspraak";"39883418";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 5941178";"Uitgeschakeld"
"Stap 3.1: OB 2020 Q3 | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT ";"37239133";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Uitgeschakeld"
"default- stop datum";"164531277";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'stop_dtm' in op '-2208988800000'";"Actief"
"Default-DTM eerste bel moment";"164532917";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_telefoongesprek' in op '-2208988800000'";"Actief"
"Stap 4.2: LH 2020 juni | als company name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT (cloned)";"33417498";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH juni 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Associate Deal with Contact";"40233651";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://en9z5vye8mobx8k.m.pipedream.net";"Uitgeschakeld"
"Stap 4.2: OB 2020 Q3 | als company name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"37239220";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'OB 2020 Q3: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Uitgeschakeld"
"BTW naar contact berekening gereed";"164535421";"Onbekend";"";"11864659 (onbekende stage)";"11864659";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2021_gereed' in op 'Berekening gereed'";"Actief"
"Whatsapp";"57732512";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://en7ajk6bdszva3f.m.pipedream.net";"Actief"
"Update deal stage for monthly customers in the pipeline (BTW - Q2 2025)";"1645386516";"BTW - Q2 2025* (717908747)";"717908747";"Open* (1047755302)";"1047755302";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1049458945";"Actief"
"Meeting send email reminder";"112299419";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay for 1 day; SINGLE_CONNECTION: Create task: Reminder to send email example";"Uitgeschakeld"
