id;naam;source;import_source;import_status;status;categorie;doel;trigger;systemen;stappen_count;stappen;webhook_paths;endpoints;gitlab_endpoint_method;gitlab_endpoint_path;gitlab_endpoint_handler;external_id;gitlab_file_path;hubspot_last_run_at;hubspot_run_count_365d;last_synced_at;approved_at;rejected_at;rejection_reason
AUTO-079;Whatsapp;hubspot;hubspot;approved;Actief;Integratie;;contact eigenschap;HubSpot | Webhook;1;Webhook -> https://en7ajk6bdszva3f.m.pipedream.net;;;;;;57732512;;2026-05-05T00:00:00+00:00;9844;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:22.039+00:00;;
AUTO-081;Afspraak gemist 2;hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;1;Stel 'dtm_gemiste_fysieke_afspraak' in;;;;;;149350723;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:21.614+00:00;;
AUTO-085;Copy Machtiging contact property naar deal;hubspot;hubspot;approved;Actief;Integratie;;contact eigenschap;HubSpot | Webhook;1;Webhook -> https://composed-month-production.up.railway.app/properties/ib/machtiging_actief_contact_webhook;/properties/ib/machtiging_actief_contact_webhook;;;;;1618095248;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:21.255+00:00;;
AUTO-086;"Stap 1.1: als contact name & contact owner bekend wordt, dan aanpassen in property deal - ALTIJD AAN MET RE-ENROLMENT";hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;2;Stel 'contact_owner_niet_handmatig_veranderen' in | Stel 'contact_name_niet_handmatig_veranderen_deel_van_een_workflow' in;;;;;;31083782;;2026-05-05T00:00:00+00:00;54883;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:20.886+00:00;;
AUTO-087;contact name naar ticket name voor toggl project;hubspot;hubspot;approved;Uitgeschakeld;Data beheer;;contact eigenschap;HubSpot;2;Stel 'contact_name_niet_handmatig_veranderen_deel_van_een_workflow' in | Stel 'contact_name_niet_handmatig_veranderen_deel_van_een_workflow' in;;;;;;31271832;;;0;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:20.51+00:00;;
AUTO-088;Contact Owner Change;hubspot;hubspot;approved;Uitgeschakeld;Integratie;;contact eigenschap;HubSpot | Webhook;1;Webhook -> https://encvxx3ghygyt1.m.pipedream.net;;;;;;38216481;;;0;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:20.174+00:00;;
AUTO-089;"Stap 1.1: als contact mail/taal bekend wordt, dan aanpassen in property deal - ALTIJD AAN MET RE-ENROLMENT";hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;4;Stel 'contact_email_niet_handmatig_veranderen_deel_van_een_workflow' in | Stel 'contact_language_niet_handmatig_veranderen_deel_van_een_workflow' in | Stel 'contact_first_name_workflow_' in | Stel 'contact_last_name_workflow_' in;;;;;;38967743;;2026-05-05T00:00:00+00:00;53362;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:19.782+00:00;;
AUTO-090;[TJILP] Nieuw contact vanuit TJILP;hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;1;"Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";;;;;;39678732;;;0;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:19.126+00:00;;
AUTO-091;Contact Name Change;hubspot;hubspot;approved;Uitgeschakeld;Integratie;;contact eigenschap;HubSpot | Webhook;2;Webhook -> https://en9z5vye8mobx8k.m.pipedream.net | Webhook -> https://ens3y5b2799s2tc.m.pipedream.net;;;;;;40232425;;2025-06-30T00:00:00+00:00;1248;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:18.55+00:00;;
AUTO-092;Associate Deal with Contact;hubspot;hubspot;approved;Uitgeschakeld;Integratie;;contact eigenschap;HubSpot | Webhook;1;Webhook -> https://en9z5vye8mobx8k.m.pipedream.net;;;;;;40233651;;;0;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:18.246+00:00;;
